MMI_DRUG_ID;SCD_RXCUI
35405401;858810
54945968;314285
50198901;245417
54965680;1422096
54936834;848140
54801387;200172
54989858;847617
54886997;403853
54856266;401971
35406501;310273
54891052;616279
35406601;284245
54989843;577127
54960365;198359
54899807;1492740
35408101;197805
54801601;901555
54801601;901558
35409501;199379
35409501;402505
50201501;861004
35410901;250044
35413401;199523
54899808;1492744
54945973;314285
35414301;310273
54989860;313472
35414501;284245
54940261;348719
54903336;1430451
54856327;349401
54896959;1492732
54989406;359229
54869891;730872
35415701;858804
54856342;311787
35415801;858813
54959626;1998462
54959626;402131
35415901;858817
35416001;858810
50208801;200345
35417201;310261
54801597;901544
54801597;901541
35417701;308805
54960248;199689
54801598;901548
54801598;901546
47216401;403884
54918847;639537
54963281;197797
54856788;349405
54862842;863669
54848817;349401
54958859;242679
50214301;864675
35420901;865220
54801730;483442
54801731;483448
54801733;483450
54848847;403855
54801734;483438
50215501;410316
54989816;904431
54989426;351257
50218001;1191222
35424001;226597
35425101;833528
54801735;483440
54966567;247451
35427001;434285
35427101;402506
35427101;199380
54801737;483446
54989442;2045951
47217601;197516
35427201;434287
54801738;577127
35427401;349287
54801740;483444
54989817;1600728
54989839;483438
35427501;429199
54802368;199524
55025253;1148801
55025253;1148800
54985978;153823
54899864;905390
54899817;403810
54899816;403811
54871344;197805
54909125;1607792
54989452;1430451
54958862;242679
47217701;197517
54989837;483448
54849155;349405
54801902;999996
54989838;483450
50218501;200345
35427601;348428
54986797;722126
54812081;1099691
54928536;249357
54985040;388080
54849195;401971
54824315;250426
54999644;283475
54824330;351264
54991412;307650
54899825;854177
54989848;313002
54963234;314229
54962762;314153
54824317;351265
54899193;1000374
54948227;1946527
54948227;833711
54948227;836401
54802350;349545
54802350;1998451
54953817;483444
54873286;309098
50225701;389131
50225701;636360
47235301;197516
54989477;197932
47235401;197517
54945944;403966
54945957;403967
54959645;349545
54959645;1998451
35431201;1010671
50234601;1946529
50234601;833709
50234601;836398
54989842;483446
50234801;849561
50234801;836489
54801935;999991
54899827;311282
50235101;836401
50235101;833711
50235101;1946527
55015733;2054981
35431301;1010671
35433001;197625
54936226;848145
35433101;197626
54802354;1998458
54802354;349553
54865338;311723
54802358;1998462
54802358;402131
54953038;1670316
54957144;349199
35433201;197627
35433301;197628
54989500;476556
35434201;833528
55018749;2099946
54953799;483446
54959619;1998462
54959619;402131
54940077;199696
54902624;351172
54850174;349405
50252501;312829
50252601;312830
50252701;312831
54989505;722126
54992144;834241
