"MMIID";"UUID";"NAME";"CAS";"UNII";"RXCUI";"ALTCAS";"ALTRXCUI"
"160";"bcc0057b-8ef0-47d3-9049-2b5ef6f2c6c7";"EPINEPHRINE";"51-43-4";"YKH834O4BH";"3992"
"24299";"1088fd67-164c-44de-b4d2-ead8b54f508c";"ETHACRIDINE LACTATE";"6402-23-9";"V5IL571C1T";"4107"
"47029";"628aa3ae-1e08-4015-bd56-c2b31b7b5334";"ETHER";"60-29-7";"0F5N573A2Y";"1363043"
"10135";"628aa3ae-1e08-4015-bd56-c2b31b7b5334";"ETHER";"60-29-7";"0F5N573A2Y";"1363043"
"890";"c30718cd-e629-45c8-a493-a0a9e6fdb2b8";"ETHYL CHLORIDE";"75-00-3";"46U771ERWK";"4141"
"54255";"9dfd96a2-0345-4234-9ca1-a2358d072e81";"ALUMINUM SULFATE";"17927-65-0";"34S289N54E";"17621"
"50229";"3b40aae0-e4ca-433d-a702-fec6f1e97a03";"FORMIC ACID";"64-18-6";"0YIW783RG1";"4537";"";"1362748"
"2569";"0d37c143-bfc6-4601-bd69-acf61207bb8b";"BENZOCAINE";"94-09-7";"U3RSY48JW5";"1399"
"52360";"f74aa595-2207-47ac-b6f3-81b33638e9a2";"AMINOSALICYLIC ACID";"65-49-6";"5B2658E0N2";"7833";"";"113374"
"15134";"9ec8b575-44f3-4295-8945-9f41056ecc02";"Ichthammol";"8029-68-3";"NQ14646378";"5645"
"3071";"fe1f4744-1b18-430c-bd85-a987821fb46b";"Ammonium chloride";"12125-02-9";"01Q9PC255D";"712"
"24237";"c48889ee-201d-4a03-bdc8-457af883f16e";"THIAMINE HYDROCHLORIDE";"67-03-8";"M572600E5P";"235355"
"24239";"a0f1fb9f-5d7d-41e8-9417-a98e2357d99c";"THIAMINE MONONITRATE";"532-43-4";"8K0I04919X";"10456"
"23852";"e281bf53-15b0-4488-b45a-508665321b8f";"ANISE OIL";"8007-70-3";"6Y89129C8H";"90926";"";""
"47297";"ccd5f85e-1b32-4764-aeb4-76d42506e50e";"ARSENIC TRIOXIDE";"1327-53-3";"S7V92P67HO";"18330"
"15163";"57ca4d1b-fb8c-4302-8789-70655308ebc1";"ASCORBIC ACID";"50-81-7";"PQ6CK8PD0R";"1151";"";"1370460"
