# 2024-05-27
# Data taken from the EDQM Standard Terms database (http://standardterms.edqm.eu) with the permission of the European Directorate for the Quality of Medicines & HealthCare, Council of Europe (EDQM).
"SOURCECODE";"TARGETCLASS";"TARGETCODE"
"10533000";"BDF";"0078"
"10533000";"ISI";"0022"
"10533000";"ISI";"0116"
"10533000";"RCA";"0047"
"10534000";"BDF";"0078"
"10534000";"ISI";"0022"
"10534000";"ISI";"0116"
"10534000";"RCA";"0047"
"10534500";"BDF";"0066"
"10534500";"ISI";"0022"
"10534500";"ISI";"0116"
"10534500";"RCA";"0047"
"10535000";"BDF";"0078"
"10535000";"ISI";"0024"
"10535000";"RCA";"0047"
"10536000";"BDF";"0066"
"10536000";"ISI";"0024"
"10536000";"RCA";"0047"
"10537000";"BDF";"0083"
"10537000";"ISI";"0022"
"10537000";"ISI";"0116"
"10537000";"RCA";"0047"
"10538000";"BDF";"0085"
"10538000";"ISI";"0022"
"10538000";"ISI";"0116"
"10538000";"RCA";"0047"
"10539000";"BDF";"0080"
"10539000";"ISI";"0022"
"10539000";"ISI";"0116"
"10539000";"RCA";"0047"
"10539250";"BDF";"0083"
"10539250";"ISI";"0022"
"10539250";"RCA";"0047"
"10539500";"BDF";"0083"
"10539500";"ISI";"0022"
"10539500";"RCA";"0047"
"10540000";"BDF";"0083"
"10540000";"ISI";"0022"
"10540000";"ISI";"0116"
"10540000";"RCA";"0047"
"10541000";"BDF";"0085"
"10541000";"ISI";"0022"
"10541000";"ISI";"0116"
"10541000";"RCA";"0047"
"10542000";"BDF";"0080"
"10542000";"ISI";"0022"
"10542000";"ISI";"0116"
"10542000";"RCA";"0047"
"10543000";"BDF";"0083"
"10543000";"ISI";"0022"
"10543000";"RCA";"0047"
"10544000";"BDF";"0085"
"10544000";"ISI";"0022"
"10544000";"RCA";"0047"
"10545000";"BDF";"0080"
"10545000";"ISI";"0022"
"10545000";"RCA";"0047"
"10546000";"BDF";"0083"
"10546000";"ISI";"0022"
"10546000";"RCA";"0047"
"10546250";"BDF";"0073"
"10546250";"ISI";"0116"
"10546250";"RCA";"0047"
"10546400";"BDF";"0083"
"10546400";"ISI";"0116"
"10546400";"RCA";"0047"
"10546500";"BDF";"0083"
"10546500";"ISI";"0116"
"10546500";"RCA";"0047"
"10547000";"BDF";"0095"
"10547000";"ISI";"0116"
"10547000";"RCA";"0047"
"10548000";"BDF";"0083"
"10548000";"ISI";"0022"
"10548000";"RCA";"0047"
"10549000";"BDF";"0083"
"10549000";"ISI";"0022"
"10549000";"RCA";"0047"
"10550000";"BDF";"0065"
"10550000";"ISI";"0022"
"10550000";"RCA";"0047"
"10600500";"BDF";"0078"
"10600500";"ISI";"0030"
"10600500";"RCA";"0047"
"10601000";"BDF";"0071"
"10601000";"ISI";"0030"
"10601000";"RCA";"0047"
"10602000";"BDF";"0073"
"10602000";"ISI";"0030"
"10602000";"RCA";"0047"
"10603000";"BDF";"0074"
"10603000";"ISI";"0030"
"10603000";"RCA";"0047"
"10604000";"BDF";"0083"
"10604000";"ISI";"0030"
"10604000";"RCA";"0047"
"10604500";"BDF";"0080"
"10604500";"ISI";"0030"
"10604500";"RCA";"0047"
"10605000";"BDF";"0085"
"10605000";"ISI";"0030"
"10605000";"RCA";"0047"
"10608000";"BDF";"0084"
"10608000";"ISI";"0030"
"10608000";"RCA";"0047"
"10609000";"BDF";"0090"
"10609000";"ISI";"0030"
"10609000";"RCA";"0045"
"10610000";"BDF";"0083"
"10610000";"ISI";"0030"
"10610000";"RCA";"0047"
"10611000";"BDF";"0084"
"10611000";"ISI";"0030"
"10611000";"RCA";"0047"
"10612000";"BDF";"0088"
"10612000";"ISI";"0030"
"10612000";"RCA";"0045"
"10613000";"BDF";"0056"
"10613000";"ISI";"0030"
"10613000";"RCA";"0047"
"10701000";"BDF";"0071"
"10701000";"ISI";"0021"
"10701000";"RCA";"0047"
"10702000";"BDF";"0073"
"10702000";"ISI";"0021"
"10702000";"RCA";"0047"
"10703000";"BDF";"0074"
"10703000";"ISI";"0021"
"10703000";"RCA";"0047"
"10704000";"BDF";"0083"
"10704000";"ISI";"0021"
"10704000";"RCA";"0047"
"10705000";"BDF";"0085"
"10705000";"ISI";"0021"
"10705000";"RCA";"0047"
"10706000";"BDF";"0080"
"10706000";"ISI";"0021"
"10706000";"RCA";"0047"
"10708000";"BDF";"0066"
"10708000";"ISI";"0021"
"10708000";"RCA";"0047"
"10709000";"BDF";"0083"
"10709000";"ISI";"0021"
"10709000";"RCA";"0047"
"10710000";"BDF";"0085"
"10710000";"ISI";"0021"
"10710000";"RCA";"0047"
"10711000";"BDF";"0080"
"10711000";"ISI";"0021"
"10711000";"RCA";"0047"
"10712000";"BDF";"0083"
"10712000";"ISI";"0021"
"10712000";"RCA";"0047"
"10713000";"BDF";"0080"
"10713000";"ISI";"0021"
"10713000";"RCA";"0047"
"10714000";"BDF";"0056"
"10714000";"ISI";"0021"
"10714000";"RCA";"0047"
"10715000";"BDF";"0067"
"10715000";"ISI";"0021"
"10715000";"RCA";"0047"
"10801000";"BDF";"0071"
"10801000";"ISI";"0029"
"10801000";"RCA";"0047"
"10802000";"BDF";"0073"
"10802000";"ISI";"0029"
"10802000";"RCA";"0047"
"10803000";"BDF";"0074"
"10803000";"ISI";"0029"
"10803000";"RCA";"0047"
"10804000";"BDF";"0083"
"10804000";"ISI";"0029"
"10804000";"RCA";"0047"
"10805000";"BDF";"0085"
"10805000";"ISI";"0029"
"10805000";"RCA";"0047"
"10806000";"BDF";"0080"
"10806000";"ISI";"0029"
"10806000";"RCA";"0047"
"10807000";"BDF";"0066"
"10807000";"ISI";"0029"
"10807000";"RCA";"0047"
"10808000";"BDF";"0083"
"10808000";"ISI";"0029"
"10808000";"RCA";"0047"
"10809000";"BDF";"0085"
"10809000";"ISI";"0029"
"10809000";"RCA";"0047"
"10810000";"BDF";"0080"
"10810000";"ISI";"0029"
"10810000";"RCA";"0047"
"10811000";"BDF";"0083"
"10811000";"ISI";"0029"
"10811000";"RCA";"0047"
"10812000";"BDF";"0067"
"10812000";"ISI";"0029"
"10812000";"RCA";"0047"
"10900500";"BDF";"0056"
"10900500";"ISI";"0036"
"10900500";"RCA";"0045"
"10901000";"BDF";"0071"
"10901000";"ISI";"0036"
"10901000";"RCA";"0047"
"10902000";"BDF";"0073"
"10902000";"ISI";"0036"
"10902000";"RCA";"0047"
"10903000";"BDF";"0074"
"10903000";"ISI";"0036"
"10903000";"RCA";"0047"
"10904000";"BDF";"0072"
"10904000";"ISI";"0036"
"10904000";"RCA";"0047"
"10905000";"BDF";"0083"
"10905000";"ISI";"0036"
"10905000";"RCA";"0047"
"10906000";"BDF";"0085"
"10906000";"ISI";"0036"
"10906000";"RCA";"0047"
"10907000";"BDF";"0080"
"10907000";"ISI";"0036"
"10907000";"RCA";"0047"
"10908000";"BDF";"0069"
"10908000";"ISI";"0036"
"10908000";"RCA";"0047"
"10909000";"BDF";"0063"
"10909000";"ISI";"0036"
"10909000";"RCA";"0047"
"10910000";"BDF";"0051"
"10910000";"ISI";"0036"
"10910000";"RCA";"0047"
"10911000";"BDF";"0051"
"10911000";"ISI";"0036"
"10911000";"RCA";"0047"
"10912000";"BDF";"0069"
"10912000";"ISI";"0036"
"10912000";"RCA";"0047"
"10913000";"BDF";"0069"
"10913000";"ISI";"0036"
"10913000";"RCA";"0047"
"10914000";"BDF";"0056"
"10914000";"ISI";"0036"
"10914000";"RCA";"0047"
"10915000";"BDF";"0095"
"10915000";"ISI";"0036"
"10915000";"RCA";"0045"
"10916000";"BDF";"0056"
