# 2024-05-29
# Data taken from the EDQM Standard Terms database (http://standardterms.edqm.eu) with the permission of the European Directorate for the Quality of Medicines & HealthCare, Council of Europe (EDQM).
"SOURCECLASS";"SOURCECODE";"TARGETCLASS";"TARGETCODE"
"PDF";"11106000";"BDF";"0083"
"PDF";"11107000";"BDF";"0085"
"PDF";"11108000";"BDF";"0080"
"PDF";"11109000";"BDF";"0066"
"PDF";"11110000";"BDF";"0066"
"PDF";"11111000";"BDF";"0066"
"PDF";"11112000";"BDF";"0066"
"PDF";"11113000";"BDF";"0051"
"PDF";"11114000";"BDF";"0083"
"PDF";"11115000";"BDF";"0069"
"PDF";"11116000";"BDF";"0074"
"PDF";"11117000";"BDF";"0082"
"PDF";"11118000";"BDF";"0087"
"PDF";"11201000";"BDF";"0083"
"PDF";"11202000";"BDF";"0085"
"PDF";"11203000";"BDF";"0080"
"PDF";"11204000";"BDF";"0073"
"PDF";"11205000";"BDF";"0066"
"PDF";"11206000";"BDF";"0066"
"PDF";"11208400";"BDF";"0066"
"PDF";"11208500";"BDF";"0085"
"PDF";"11209000";"BDF";"0078"
"PDF";"11209500";"BDF";"0083"
"PDF";"11210000";"BDF";"0083"
"PDF";"11211000";"BDF";"0080"
"PDF";"11211500";"BDF";"0066"
"PDF";"11212000";"BDF";"0066"
"PDF";"11213000";"BDF";"0078"
"PDF";"11216000";"BDF";"0084"
"PDF";"11301000";"BDF";"0055"
"PDF";"11302000";"BDF";"0069"
"PDF";"11303000";"BDF";"0055"
"PDF";"11303300";"BDF";"0055"
"PDF";"11303500";"BDF";"0085"
"PDF";"11303750";"BDF";"0096"
"PDF";"11401000";"BDF";"0083"
"PDF";"11402000";"BDF";"0083"
"PDF";"11403000";"BDF";"0083"
"PDF";"11404000";"BDF";"0083"
"PDF";"11405000";"BDF";"0078"
"PDF";"11501000";"BDF";"0083"
"PDF";"11502000";"BDF";"0083"
"PDF";"11502500";"BDF";"0083"
"PDF";"11503000";"BDF";"0066"
"PDF";"11504000";"BDF";"0073"
"PDF";"11505000";"BDF";"0067"
"PDF";"11601000";"BDF";"0083"
"PDF";"11602000";"BDF";"0066"
"PDF";"11603000";"BDF";"0085"
"PDF";"11701000";"BDF";"0073"
"PDF";"11901000";"BDF";"0095"
"PDF";"12100500";"BDF";"0056"
"PDF";"12101000";"BDF";"0081"
"PDF";"12102000";"BDF";"0083"
"PDF";"12103000";"BDF";"0083"
"PDF";"12104000";"BDF";"0067"
"PDF";"12105000";"BDF";"0092"
"PDF";"12106000";"BDF";"0092"
"PDF";"12107000";"BDF";"0092"
"PDF";"12108000";"BDF";"0083"
"PDF";"12109000";"BDF";"0079"
"PDF";"12109900";"BDF";"0083"
"PDF";"12110000";"BDF";"0085"
"PDF";"12111000";"BDF";"0080"
"PDF";"12111500";"BDF";"0083"
"PDF";"12112000";"BDF";"0083"
"PDF";"12113000";"BDF";"0083"
"PDF";"12114000";"BDF";"0083"
"PDF";"12115000";"BDF";"0083"
"PDF";"12115100";"BDF";"0056"
"PDF";"12115200";"BDF";"0066"
"PDF";"12115500";"BDF";"0083"
"PDF";"12117000";"BDF";"0056"
"PDF";"12117500";"BDF";"0056"
"PDF";"12118000";"BDF";"0096"
"PDF";"12119000";"BDF";"0056"
"PDF";"12120000";"BDF";"0073"
"PDF";"12130000";"BDF";"0056"
"PDF";"12131000";"BDF";"0083"
"PDF";"12301000";"BDF";"0087"
"PDF";"12302000";"BDF";"0087"
"PDF";"12303000";"BDF";"0087"
"PDF";"13001000";"BDF";"0078"
"PDF";"13002000";"BDF";"0078"
"PDF";"13003000";"BDF";"0078"
"PDF";"13004000";"BDF";"0078"
"PDF";"13005000";"BDF";"0079"
"PDF";"13006000";"BDF";"0066"
"PDF";"13007000";"BDF";"0053"
"PDF";"13008000";"BDF";"0080"
"PDF";"13009000";"BDF";"0066"
"PDF";"13010000";"BDF";"0066"
"PDF";"13011000";"BDF";"0066"
"PDF";"13012000";"BDF";"0087"
"PDF";"13013000";"BDF";"0087"
"PDF";"13014000";"BDF";"0073"
"PDF";"13015000";"BDF";"0053"
"PDF";"13016000";"BDF";"0083"
"PDF";"13017000";"BDF";"0083"
"PDF";"13018000";"BDF";"0056"
"PDF";"13020000";"BDF";"0066"
"PDF";"13021000";"BDF";"0066"
"PDF";"13022000";"BDF";"0066"
"PDF";"13023000";"BDF";"0066"
"PDF";"13024000";"BDF";"0066"
"PDF";"13025000";"BDF";"0066"
"PDF";"13026000";"BDF";"0066"
"PDF";"13027000";"BDF";"0066"
"PDF";"13028000";"BDF";"0066"
"PDF";"13029000";"BDF";"0066"
"PDF";"13031000";"BDF";"0066"
"PDF";"13032000";"BDF";"0066"
"PDF";"13033000";"BDF";"0083"
"PDF";"13034000";"BDF";"0083"
"PDF";"13035000";"BDF";"0084"
"PDF";"13036000";"BDF";"0085"
"PDF";"13037000";"BDF";"0085"
"PDF";"13038000";"BDF";"0085"
"PDF";"13039000";"BDF";"0085"
"PDF";"13040000";"BDF";"0066"
"PDF";"13041000";"BDF";"0083"
"PDF";"13042000";"BDF";"0083"
"PDF";"13043000";"BDF";"0075"
"PDF";"13044000";"BDF";"0083"
"PDF";"13045000";"BDF";"0085"
"PDF";"13046000";"BDF";"0053"
"PDF";"13047000";"BDF";"0083"
"PDF";"13048000";"BDF";"0053"
"PDF";"13049000";"BDF";"0079"
"PDF";"13050000";"BDF";"0087"
"PDF";"13051000";"BDF";"0083"
"PDF";"13052000";"BDF";"0066"
"PDF";"13058000";"BDF";"0069"
"PDF";"13061000";"BDF";"0083"
"PDF";"13066000";"BDF";"0069"
"PDF";"13076000";"BDF";"0083"
"PDF";"13077000";"BDF";"0080"
"PDF";"13091000";"BDF";"0080"
"PDF";"13102000";"BDF";"0074"
"PDF";"13105000";"BDF";"0066"
"PDF";"13106000";"BDF";"0114"
"PDF";"13107000";"BDF";"0083"
"PDF";"13111000";"BDF";"0066"
"PDF";"13113000";"BDF";"0073"
"PDF";"13115000";"BDF";"0115"
"PDF";"13118000";"BDF";"0069"
"PDF";"13123000";"BDF";"0074"
"PDF";"13124000";"BDF";"0115"
"PDF";"13126000";"BDF";"0079"
"PDF";"13127000";"BDF";"0059"
"PDF";"13128000";"BDF";"0083"
"PDF";"13129000";"BDF";"0079"
"PDF";"13133000";"BDF";"0085"
"PDF";"13134000";"BDF";"0085"
"PDF";"13135000";"BDF";"0085"
"PDF";"13136000";"BDF";"0066"
"PDF";"13139000";"BDF";"0078"
"PDF";"13140000";"BDF";"0083"
"PDF";"13141000";"BDF";"0102"
"PDF";"13145000";"BDF";"0056"
"PDF";"13148000";"BDF";"0063"
"PDF";"13149000";"BDF";"0052"
"PDF";"13152000";"BDF";"0078"
"PDF";"13154000";"BDF";"0053"
"PDF";"13159000";"BDF";"0083"
"PDF";"13162000";"BDF";"0078"
"PDF";"13164000";"BDF";"0083"
"PDF";"13165000";"BDF";"0085"
"PDF";"13167000";"BDF";"0080"
"PDF";"13168000";"BDF";"0083"
"PDF";"13169000";"BDF";"0085"
"PDF";"13175000";"BDF";"0069"
"PDF";"13176000";"BDF";"0066"
"PDF";"13177000";"BDF";"0053"
"PDF";"13178000";"BDF";"0066"
"PDF";"13179000";"BDF";"0053"
"PDF";"13180000";"BDF";"0053"
"PDF";"13184000";"BDF";"0066"
"PDF";"13186000";"BDF";"0073"
"PDF";"13187000";"BDF";"0079"
"PDF";"13188000";"BDF";"0083"
"PDF";"13190000";"BDF";"0055"
"PDF";"13191000";"BDF";"0055"
"PDF";"30047500";"BDF";"0102"
"PDF";"50001000";"BDF";"0069"
"PDF";"50009000";"BDF";"0078"
"PDF";"50009300";"BDF";"0078"
"PDF";"50009500";"BDF";"0078"
"PDF";"50009750";"BDF";"0078"
"PDF";"50010000";"BDF";"0078"
"PDF";"50011000";"BDF";"0078"
"PDF";"50012000";"BDF";"0078"
"PDF";"50013000";"BDF";"0078"
"PDF";"50013250";"BDF";"0078"
"PDF";"50014000";"BDF";"0078"
"PDF";"50015000";"BDF";"0074"
"PDF";"50015100";"BDF";"0085"
"PDF";"50015200";"BDF";"0074"
"PDF";"50015300";"BDF";"0083"
"PDF";"50015400";"BDF";"0094"
"PDF";"50015450";"BDF";"0083"
"PDF";"50015500";"BDF";"0080"
"PDF";"50016000";"BDF";"0074"
"PDF";"50017000";"BDF";"0075"
"PDF";"50017500";"BDF";"0079"
"PDF";"50018000";"BDF";"0083"
"PDF";"50018500";"BDF";"0085"
"PDF";"50019000";"BDF";"0074"
"PDF";"50019500";"BDF";"0083"
"PDF";"50020000";"BDF";"0083"
"PDF";"50020200";"BDF";"0085"
"PDF";"50020500";"BDF";"0069"
"PDF";"50021000";"BDF";"0080"
"PDF";"50022000";"BDF";"0085"
"PDF";"50023500";"BDF";"0069"
"PDF";"50024000";"BDF";"0083"
"PDF";"50024500";"BDF";"0083"
"PDF";"50025000";"BDF";"0069"
"PDF";"50026000";"BDF";"0053"
"PDF";"50026250";"BDF";"0069"
"PDF";"50028000";"BDF";"0053"
"PDF";"50029000";"BDF";"0053"
"PDF";"50029150";"BDF";"0053"
"PDF";"50029500";"BDF";"0053"
"PDF";"50029600";"BDF";"0051"
"PDF";"50029800";"BDF";"0056"
"PDF";"50030000";"BDF";"0069"
"PDF";"50031000";"BDF";"0069"
"PDF";"50032000";"BDF";"0080"
"PDF";"50033000";"BDF";"0056"
"PDF";"50033100";"BDF";"0056"
"PDF";"50033400";"BDF";"0083"
"PDF";"50034000";"BDF";"0087"
"PDF";"50035000";"BDF";"0069"
"PDF";"50036000";"BDF";"0053"
"PDF";"50036050";"BDF";"0066"
"PDF";"50036100";"BDF";"0069"
"PDF";"50036500";"BDF";"0083"
"PDF";"50036700";"BDF";"0083"
"PDF";"50037000";"BDF";"0083"
"PDF";"50037100";"BDF";"0066"
"PDF";"50037400";"BDF";"0083"
"PDF";"50037500";"BDF";"0053"
"PDF";"50037750";"BDF";"0082"
"PDF";"50037900";"BDF";"0083"
"PDF";"50038000";"BDF";"0085"
"PDF";"50038500";"BDF";"0083"
"PDF";"50039000";"BDF";"0061"
"PDF";"50039500";"BDF";"0083"
"PDF";"50040000";"BDF";"0083"
"PDF";"50040500";"BDF";"0083"
"PDF";"50043000";"BDF";"0066"
"PDF";"50048750";"BDF";"0066"
"PDF";"50049000";"BDF";"0066"
"PDF";"50049100";"BDF";"0066"
"PDF";"50049200";"BDF";"0066"
"PDF";"50049250";"BDF";"0066"
"PDF";"50049270";"BDF";"0066"
"PDF";"50049300";"BDF";"0066"
"PDF";"50049500";"BDF";"0066"
"PDF";"50050000";"BDF";"0066"
"PDF";"50050500";"BDF";"0066"
"PDF";"50051000";"BDF";"0066"
"PDF";"50051100";"BDF";"0066"
"PDF";"50051500";"BDF";"0066"
"PDF";"50052000";"BDF";"0066"
"PDF";"50053000";"BDF";"0066"
"PDF";"50053500";"BDF";"0066"
"PDF";"50054000";"BDF";"0066"
"PDF";"50055000";"BDF";"0066"
"PDF";"50055150";"BDF";"0066"
"PDF";"50055500";"BDF";"0069"
"PDF";"50056000";"BDF";"0053"
"PDF";"50056500";"BDF";"0092"
"PDF";"50057000";"BDF";"0083"
"PDF";"50058000";"BDF";"0083"
"PDF";"50059000";"BDF";"0083"
"PDF";"50060000";"BDF";"0083"
"PDF";"50060700";"BDF";"0083"
"PDF";"50061000";"BDF";"0083"
"PDF";"50061500";"BDF";"0083"
"PDF";"50061600";"BDF";"0084"
"PDF";"50063000";"BDF";"0085"
"PDF";"50066000";"BDF";"0069"
"PDF";"50073000";"BDF";"0066"
"PDF";"50073500";"BDF";"0083"
"PDF";"50074000";"BDF";"0084"
"PDF";"50076000";"BDF";"0084"
"PDF";"50077000";"BDF";"0079"
"PDF";"50079000";"BDF";"0078"
"PDF";"50081000";"BDF";"0083"
"PDF";"50082000";"BDF";"0066"
"PDF";"10100500";"ISI";"0031"
"PDF";"10101000";"ISI";"0031"
"PDF";"10102000";"ISI";"0031"
"PDF";"10103000";"ISI";"0031"
"PDF";"10104000";"ISI";"0031"
"PDF";"10105000";"ISI";"0031"
"PDF";"10106000";"ISI";"0031"
"PDF";"10107000";"ISI";"0031"
"PDF";"10108000";"ISI";"0031"
"PDF";"10109000";"ISI";"0031"
"PDF";"10110000";"ISI";"0031"
"PDF";"10111000";"ISI";"0031"
"PDF";"10112000";"ISI";"0031"
"PDF";"10113000";"ISI";"0031"
"PDF";"10117000";"ISI";"0031"
"PDF";"10118000";"ISI";"0031"
"PDF";"10119000";"ISI";"0031"
"PDF";"10120000";"ISI";"0031"
"PDF";"10121000";"ISI";"0031"
"PDF";"10121500";"ISI";"0031"
"PDF";"10122000";"ISI";"0031"
"PDF";"10201000";"ISI";"0031"
"PDF";"10202000";"ISI";"0031"
"PDF";"10203000";"ISI";"0031"
"PDF";"10204000";"ISI";"0031"
"PDF";"10205000";"ISI";"0031"
"PDF";"10206000";"ISI";"0031"
"PDF";"10207000";"ISI";"0031"
"PDF";"10208000";"ISI";"0031"
"PDF";"10209000";"ISI";"0031"
"PDF";"10210000";"ISI";"0031"
"PDF";"10211000";"ISI";"0031"
"PDF";"10212000";"ISI";"0031"
"PDF";"10213000";"ISI";"0031"
"PDF";"10214000";"ISI";"0031"
"PDF";"10215000";"ISI";"0031"
"PDF";"10216000";"ISI";"0031"
"PDF";"10217000";"ISI";"0031"
"PDF";"10218000";"ISI";"0031"
"PDF";"10219000";"ISI";"0031"
"PDF";"10220000";"ISI";"0031"
"PDF";"10221000";"ISI";"0031"
"PDF";"10222000";"ISI";"0031"
"PDF";"10223000";"ISI";"0031"
"PDF";"10224000";"ISI";"0031"
"PDF";"10225000";"ISI";"0031"
"PDF";"10226000";"ISI";"0031"
"PDF";"10227000";"ISI";"0031"
"PDF";"10228000";"ISI";"0031"
"PDF";"10229000";"ISI";"0031"
"PDF";"10229000";"ISI";"0032"
"PDF";"10230000";"ISI";"0031"
"PDF";"10230500";"ISI";"0031"
"PDF";"10231000";"ISI";"0031"
"PDF";"10231000";"ISI";"0118"
"PDF";"10236100";"ISI";"0031"
"PDF";"10301000";"ISI";"0032"
"PDF";"10302000";"ISI";"0032"
"PDF";"10303000";"ISI";"0032"
"PDF";"10304000";"ISI";"0032"
"PDF";"10305000";"ISI";"0032"
"PDF";"10306000";"ISI";"0032"
"PDF";"10307000";"ISI";"0032"
"PDF";"10308000";"ISI";"0032"
"PDF";"10308100";"ISI";"0032"
"PDF";"10308200";"ISI";"0032"
"PDF";"10308300";"ISI";"0032"
"PDF";"10309000";"ISI";"0118"
"PDF";"10309100";"ISI";"0118"
"PDF";"10309200";"ISI";"0118"
"PDF";"10309300";"ISI";"0118"
"PDF";"10310000";"ISI";"0032"
"PDF";"10311000";"ISI";"0032"
"PDF";"10312000";"ISI";"0032"
"PDF";"10313000";"ISI";"0032"
"PDF";"10314000";"ISI";"0032"
"PDF";"10314005";"ISI";"0032"
"PDF";"10314010";"ISI";"0032"
"PDF";"10314011";"ISI";"0117"
"PDF";"10315000";"ISI";"0032"
"PDF";"10316000";"ISI";"0032"
"PDF";"10317000";"ISI";"0032"
"PDF";"10317500";"ISI";"0118"
"PDF";"10318000";"ISI";"0118"
"PDF";"10319000";"ISI";"0117"
"PDF";"10320000";"ISI";"0117"
"PDF";"10321000";"ISI";"0032"
"PDF";"10322000";"ISI";"0032"
"PDF";"10323000";"ISI";"0032"
"PDF";"10401000";"ISI";"0023"
"PDF";"10401500";"ISI";"0023"
"PDF";"10402000";"ISI";"0023"
"PDF";"10403000";"ISI";"0023"
"PDF";"10404000";"ISI";"0023"
"PDF";"10405000";"ISI";"0023"
"PDF";"10406000";"ISI";"0023"
"PDF";"10407000";"ISI";"0023"
"PDF";"10408000";"ISI";"0023"
"PDF";"10409000";"ISI";"0023"
"PDF";"10410000";"ISI";"0023"
"PDF";"10411000";"ISI";"0023"
"PDF";"10413000";"ISI";"0023"
"PDF";"10414000";"ISI";"0023"
"PDF";"10501000";"ISI";"0022"
"PDF";"10502000";"ISI";"0022"
"PDF";"10502000";"ISI";"0116"
"PDF";"10503000";"ISI";"0022"
"PDF";"10504000";"ISI";"0022"
"PDF";"10504000";"ISI";"0116"
"PDF";"10505000";"ISI";"0022"
"PDF";"10506000";"ISI";"0022"
"PDF";"10506000";"ISI";"0116"
"PDF";"10507000";"ISI";"0022"
"PDF";"10508000";"ISI";"0022"
"PDF";"10509000";"ISI";"0022"
"PDF";"10510000";"ISI";"0022"
"PDF";"10511000";"ISI";"0022"
"PDF";"10512000";"ISI";"0022"
