edqm_dose_form,rxnorm_dose_form,has_trac_code,has_trac_term,has_rca_code,has_rca_term,has_amec_code,has_amec_term,has_isic_code,has_isic_term
matrix for implantation matrix,,41,mixing                                            ,45,prolonged                                         ,113,implantation,33,parenteral
prolonged-release suspension for injection,,42,no transformation                                 ,45,prolonged                                         ,11,injection,33,parenteral
prolonged-release solution for injection,,42,no transformation                                 ,45,prolonged                                         ,11,injection,33,parenteral
prolonged-release dispersion for injection,,42,no transformation                                 ,45,prolonged                                         ,11,injection,33,parenteral
powder for prolonged-release suspension for injection,,39,dispersion                                        ,45,prolonged                                         ,11,injection,33,parenteral
,injection,,,,,,,,
solution for injection,injectable solution,42,no transformation                                 ,47,conventional                                      ,11,injection,33,parenteral
suspension for injection,injectable suspension,42,no transformation                                 ,47,conventional                                      ,11,injection,33,parenteral
emulsion for injection,,42,no transformation                                 ,47,conventional                                      ,11,injection,33,parenteral
gel for injection,,42,no transformation                                 ,47,conventional                                      ,11,injection,33,parenteral
dispersion for injection,,42,no transformation                                 ,47,conventional                                      ,11,injection,33,parenteral
,injectable foam,,,,,,,,
concentrate for solution for injection,,38,dilution                                          ,47,conventional                                      ,11,injection,33,parenteral
concentrate for suspension for injection,,38,dilution                                          ,47,conventional                                      ,11,injection,33,parenteral
concentrate for dispersion for injection,,38,dilution                                          ,47,conventional                                      ,11,injection,33,parenteral
concentrate for solution for injection,,38,dilution                                          ,47,conventional                                      ,11,injection,33,parenteral
concentrate for suspension for injection,,38,dilution                                          ,47,conventional                                      ,11,injection,33,parenteral
concentrate for dispersion for injection,,38,dilution                                          ,47,conventional                                      ,11,injection,33,parenteral
powder for suspension for injection,,39,dispersion                                        ,47,conventional                                      ,11,injection,33,parenteral
gas for dispersion for injection,,39,dispersion                                        ,47,conventional                                      ,11,injection,33,parenteral
powder for dispersion for injection,,39,dispersion                                        ,47,conventional                                      ,11,injection,33,parenteral
granules for suspension for injection,,39,dispersion                                        ,47,conventional                                      ,11,injection,33,parenteral
emulsion for emulsion for injection,,41,mixing                                            ,47,conventional                                      ,11,injection,33,parenteral
solution for solution for injection,,41,mixing                                            ,47,conventional                                      ,11,injection,33,parenteral
suspension for emulsion for injection,,41,mixing                                            ,47,conventional                                      ,11,injection,33,parenteral
suspension for suspension for injection,,41,mixing                                            ,47,conventional                                      ,11,injection,33,parenteral
powder for emulsion for injection,,41,mixing                                            ,47,conventional                                      ,11,injection,33,parenteral
solution for suspension for injection,,41,mixing                                            ,47,conventional                                      ,11,injection,33,parenteral
emulsion for suspension for injection,,41,mixing                                            ,47,conventional                                      ,11,injection,33,parenteral
powder for solution for injection,,40,dissolution                                       ,47,conventional                                      ,11,injection,33,parenteral
,auto-injector,,,,,,,,
,cartridge,,,,,,,,
,jet injector,,,,,,,,
,pen injector,,,,,,,,
,prefilled syringe,,,,,,,,
solution for infusion,,42,no transformation                                 ,47,conventional                                      ,9,infusion,33,parenteral
emulsion for infusion,,42,no transformation                                 ,47,conventional                                      ,9,infusion,33,parenteral
dispersion for infusion,,42,no transformation                                 ,47,conventional                                      ,9,infusion,33,parenteral
concentrate for solution for infusion,,38,dilution                                          ,47,conventional                                      ,9,infusion,33,parenteral
concentrate for concentrate for solution for infusion,,38,dilution                                          ,47,conventional                                      ,9,infusion,33,parenteral
concentrate for dispersion for infusion,,38,dilution                                          ,47,conventional                                      ,9,infusion,33,parenteral
concentrate for emulsion for infusion,,38,dilution                                          ,47,conventional                                      ,9,infusion,33,parenteral
powder for dispersion for infusion,,39,dispersion                                        ,47,conventional                                      ,9,infusion,33,parenteral
gas for dispersion for infusion,,39,dispersion                                        ,47,conventional                                      ,9,infusion,33,parenteral
powder for solution for infusion,,40,dissolution                                       ,47,conventional                                      ,9,infusion,33,parenteral
solution for solution for infusion,,41,mixing                                            ,47,conventional                                      ,9,infusion,33,parenteral
solvent for solution for infusion,,41,mixing                                            ,47,conventional                                      ,9,infusion,33,parenteral
powder for concentrate for dispersion for infusion,,38,dilution/dispersion                               ,47,conventional                                      ,9,infusion,33,parenteral
powder for concentrate for solution for infusion,,38,dilution/dissolution                              ,47,conventional                                      ,9,infusion,33,parenteral
powder for concentrate for dispersion for infusion,,38,dilution/dispersion                               ,47,conventional                                      ,9,infusion,33,parenteral
powder for concentrate for solution for infusion,,38,dilution/dissolution                              ,47,conventional                                      ,9,infusion,33,parenteral
dispersion for injection/infusion,,42,no transformation                                 ,47,conventional                                      ,9,infusion/injection,33,parenteral
emulsion for injection/infusion,,42,no transformation                                 ,47,conventional                                      ,9,infusion/injection,33,parenteral
solution for injection/infusion,,42,no transformation                                 ,47,conventional                                      ,9,infusion/injection,33,parenteral
concentrate for solution for injection/infusion,,38,dilution                                          ,47,conventional                                      ,9,infusion/injection,33,parenteral
gas for dispersion for injection/infusion,,39,dispersion                                        ,47,conventional                                      ,9,infusion/injection,33,parenteral
powder for solution for injection/infusion,,40,dissolution                                       ,47,conventional                                      ,9,infusion/injection,33,parenteral
solvent for parenteral use,,41,mixing                                            ,47,conventional                                      ,9,infusion/injection,33,parenteral
powder for concentrate for solution for injection/infusion,,38,dilution/dissolution                              ,47,conventional                                      ,9,infusion/injection,33,parenteral
"inhalation vapour, impregnated pad",,42,no transformation                                 ,47,conventional                                      ,10,inhalation,34,pulmonary
"inhalation vapour, impregnated plug",,42,no transformation                                 ,47,conventional                                      ,10,inhalation,34,pulmonary
,inhalation suspension,,,,,,,,
"inhalation vapour, solution",inhalation solution,41,mixing/no transformation                          ,47,conventional                                      ,10,inhalation,34,pulmonary
"inhalation vapour, ointment",,41,mixing/no transformation                          ,47,conventional                                      ,10,inhalation,34,pulmonary
"inhalation vapour, liquid",,41,mixing/no transformation                          ,47,conventional                                      ,10,inhalation,34,pulmonary
,inhalation spray,,,,,,,,
"inhalation vapour, emulsion",,41,mixing/no transformation                          ,47,conventional                                      ,10,inhalation,34,pulmonary
"inhalation vapour, powder",,40,dissolution/mixing/no transformation              ,47,conventional                                      ,10,inhalation,34,pulmonary
"inhalation vapour, capsule",,40,dissolution/mixing/no transformation              ,47,conventional                                      ,10,inhalation,34,pulmonary
"inhalation vapour, tablet",,40,dissolution                                       ,47,conventional                                      ,10,inhalation,34,pulmonary
"inhalation vapour, effervescent tablet",,39,dispersion/dissolution                            ,47,conventional                                      ,10,inhalation,34,pulmonary
nebuliser solution,,42,no transformation                                 ,47,conventional                                      ,10,inhalation,34,pulmonary
nebuliser suspension,,42,no transformation                                 ,47,conventional                                      ,10,inhalation,34,pulmonary
nebuliser emulsion,,42,no transformation                                 ,47,conventional                                      ,10,inhalation,34,pulmonary
nebuliser dispersion,,42,no transformation                                 ,47,conventional                                      ,10,inhalation,34,pulmonary
concentrate for nebuliser solution,,38,dilution                                          ,47,conventional                                      ,10,inhalation,34,pulmonary
powder for nebuliser suspension,,39,dispersion                                        ,47,conventional                                      ,10,inhalation,34,pulmonary
powder for nebuliser solution,,40,dissolution                                       ,47,conventional                                      ,10,inhalation,34,pulmonary
,metered dose inhaler,,,,,,,,
"pressurised inhalation, solution",,42,no transformation                                 ,47,conventional                                      ,10,inhalation,34,pulmonary
"pressurised inhalation, suspension",,42,no transformation                                 ,47,conventional                                      ,10,inhalation,34,pulmonary
"pressurised inhalation, emulsion",,42,no transformation                                 ,47,conventional                                      ,10,inhalation,34,pulmonary
,dry powder inhaler,,,,,,,,
inhalation powder,inhalation powder,42,no transformation                                 ,47,conventional                                      ,10,inhalation,34,pulmonary
"inhalation powder, hard capsule",,42,no transformation                                 ,47,conventional                                      ,10,inhalation,34,pulmonary
"inhalation powder, pre-dispensed",,42,no transformation                                 ,47,conventional                                      ,10,inhalation,34,pulmonary
"inhalation powder, tablet",,42,no transformation                                 ,47,conventional                                      ,10,inhalation,34,pulmonary
,gas for inhalation,,,,,,,,
"medicinal gas, compressed",,42,no transformation                                 ,47,conventional                                      ,10,inhalation,34,pulmonary
"medicinal gas, cryogenic",,42,no transformation                                 ,47,conventional                                      ,10,inhalation,34,pulmonary
"medicinal gas, liquefied",,42,no transformation                                 ,47,conventional                                      ,10,inhalation,34,pulmonary
"endotracheopulmonary instillation, solution",,42,no transformation                                 ,47,conventional                                      ,13,instillation,34,pulmonary
"endotracheopulmonary instillation, suspension",intratracheal suspension,42,no transformation                                 ,47,conventional                                      ,13,instillation,34,pulmonary
"endotracheopulmonary instillation, powder for suspension",,39,dispersion                                        ,47,conventional                                      ,13,instillation,34,pulmonary
"endotracheopulmonary instillation, powder for solution",,40,dissolution                                       ,47,conventional                                      ,13,instillation,34,pulmonary
suppository,rectal suppository,42,no transformation                                 ,47,conventional                                      ,12,insertion,35,rectal
rectal capsule,,42,no transformation                                 ,47,conventional                                      ,12,insertion,35,rectal
rectal foam,rectal foam,42,no transformation                                 ,47,conventional                                      ,4,administration,35,rectal
rectal solution,rectal solution,42,no transformation                                 ,47,conventional                                      ,4,administration,35,rectal
rectal suspension,,42,no transformation                                 ,47,conventional                                      ,4,administration,35,rectal
rectal emulsion,,42,no transformation                                 ,47,conventional                                      ,4,administration,35,rectal
rectal cream,rectal cream,42,no transformation                                 ,47,conventional                                      ,5,application,35,rectal
rectal gel,rectal gel,42,no transformation                                 ,47,conventional                                      ,5,application,35,rectal
rectal ointment,rectal ointment,42,no transformation                                 ,47,conventional                                      ,5,application,35,rectal
rectal tampon,,42,no transformation                                 ,47,conventional                                      ,12,insertion,35,rectal
concentrate for rectal solution,,38,dilution                                          ,47,conventional                                      ,4,administration,35,rectal
powder for rectal suspension,,39,dispersion                                        ,47,conventional                                      ,4,administration,35,rectal
tablet for rectal suspension,,39,dispersion                                        ,47,conventional                                      ,4,administration,35,rectal
granules for rectal suspension,,39,dispersion                                        ,47,conventional                                      ,4,administration,35,rectal
powder for rectal solution,,40,dissolution                                       ,47,conventional                                      ,4,administration,35,rectal
tablet for rectal solution,,40,dissolution                                       ,47,conventional                                      ,4,administration,35,rectal
,rectal spray,,,,,,,,
,enema,,,,,,,,
transdermal patch,medicated patch,42,no transformation                                 ,45,prolonged                                         ,5,application,99906150,transdermal
solution for iontophoresis,,42,no transformation                                 ,47,conventional                                      ,5,application,99906150,transdermal
transdermal gel,,42,no transformation                                 ,47,conventional                                      ,5,application,99906150,transdermal
transdermal solution,,42,no transformation                                 ,47,conventional                                      ,5,application,99906150,transdermal
transdermal system,transdermal system,42,no transformation                                 ,47,conventional                                      ,5,application,99906150,transdermal
transdermal ointment,,42,no transformation                                 ,47,conventional                                      ,5,application,99906150,transdermal
"transdermal spray, solution",,42,no transformation                                 ,47,conventional                                      ,17,spraying,99906150,transdermal
powder for solution for iontophoresis,,40,dissolution                                       ,47,conventional                                      ,5,application,99906150,transdermal
,medicated pad,,,,,,,,
,medicated tape,,,,,,,,
vaginal delivery system,vaginal system,42,no transformation                                 ,45,prolonged                                         ,12,insertion,36,vaginal
"vaginal capsule, hard",,42,no transformation                                 ,47,conventional                                      ,12,insertion,36,vaginal
"vaginal capsule, soft",,42,no transformation                                 ,47,conventional                                      ,12,insertion,36,vaginal
vaginal tablet,vaginal insert,42,no transformation                                 ,47,conventional                                      ,12,insertion,36,vaginal
effervescent vaginal tablet,,42,no transformation                                 ,47,conventional                                      ,12,insertion,36,vaginal
medicated vaginal tampon,,42,no transformation                                 ,47,conventional                                      ,12,insertion,36,vaginal
vaginal foam,vaginal foam,42,no transformation                                 ,47,conventional                                      ,4,administration,36,vaginal
vaginal solution,,42,no transformation                                 ,47,conventional                                      ,4,administration,36,vaginal
vaginal suspension,,42,no transformation                                 ,47,conventional                                      ,4,administration,36,vaginal
vaginal emulsion,,42,no transformation                                 ,47,conventional                                      ,4,administration,36,vaginal
vaginal cream,vaginal cream,42,no transformation                                 ,47,conventional                                      ,5,application,36,vaginal
vaginal gel,vaginal gel,42,no transformation                                 ,47,conventional                                      ,5,application,36,vaginal
vaginal ointment,vaginal ointment,42,no transformation                                 ,47,conventional                                      ,5,application,36,vaginal
tablet for vaginal solution,,40,dissolution                                       ,47,conventional                                      ,4,administration,36,vaginal
powder for vaginal solution,,40,dissolution                                       ,47,conventional                                      ,4,administration,36,vaginal
granules for vaginal solution,,,,,,,,,
,vaginal film,,,,,,,,
,douche,,,,,,,,
,vaginal sponge,,,,,,,,
pessary,,42,no transformation                                 ,47,conventional                                      ,12,insertion,36,vaginal
"radiopharmaceutical precursor, solution",,42,no transformation                                 ,47,conventional                                      ,20,not specified,37,unknown/miscellaneous
radiopharmaceutical precursor,,43,unknown                                           ,47,conventional                                      ,20,not specified,37,unknown/miscellaneous
radionuclide generator,,43,unknown                                           ,47,conventional                                      ,20,not specified,37,unknown/miscellaneous
kit for radiopharmaceutical preparation,,43,unknown                                           ,47,conventional                                      ,20,not specified,37,unknown/miscellaneous
prolonged-release wound solution,,42,no transformation                                 ,45,prolonged                                         ,5,application,37,unknown/miscellaneous
pouch,,42,no transformation                                 ,45,prolonged                                         ,12,insertion,37,unknown/miscellaneous
epilesional solution,,42,no transformation                                 ,47,conventional                                      ,4,administration,37,unknown/miscellaneous
denture lacquer,,42,no transformation                                 ,47,conventional                                      ,5,application,37,unknown/miscellaneous
sealant,,42,no transformation                                 ,47,conventional                                      ,5,application,37,unknown/miscellaneous
sealant matrix,,42,no transformation                                 ,47,conventional                                      ,5,application,37,unknown/miscellaneous
sealant powder,,42,no transformation                                 ,47,conventional                                      ,5,application,37,unknown/miscellaneous
irrigation solution,irrigation solution,42,no transformation                                 ,47,conventional                                      ,15,rinsing/washing,37,unknown/miscellaneous
wound stick,,42,no transformation                                 ,47,conventional                                      ,5,application/insertion,37,unknown/miscellaneous
medicated sponge,,42,no transformation                                 ,47,conventional                                      ,5,application/insertion,37,unknown/miscellaneous
impregnated pad,,42,no transformation                                 ,47,conventional                                      ,20,not specified,37,unknown/miscellaneous
impregnated plug,,42,no transformation                                 ,47,conventional                                      ,20,not specified,37,unknown/miscellaneous
medicated thread,,42,no transformation                                 ,47,conventional                                      ,20,not specified,37,unknown/miscellaneous
powder for epilesional solution,,40,dissolution                                       ,47,conventional                                      ,4,administration,37,unknown/miscellaneous
powder for sealant,,40,dissolution                                       ,47,conventional                                      ,5,application,37,unknown/miscellaneous
solution for sealant,,41,mixing                                            ,47,conventional                                      ,5,application,37,unknown/miscellaneous
solution for spray,,41,mixing                                            ,47,conventional                                      ,17,spraying,37,unknown/miscellaneous
suspension for spray,,41,mixing                                            ,47,conventional                                      ,17,spraying,37,unknown/miscellaneous
solvent for...,,41,mixing                                            ,47,conventional                                      ,20,not specified,37,unknown/miscellaneous
,powder for pyelocalyceal solution,,,,,,,,
,mucosal spray,,,,,,,,
,mucous membrane topical solution,,,,,,,,
,paste,,,,,,,,
