edqm_dose_form,rxnorm_dose_form,has_trac_code,has_trac_term,has_rca_code,has_rca_term,has_amec_code,has_amec_term,has_isic_code,has_isic_term
impregnated dressing,,42,no transformation                                 ,47,conventional                                      ,5,application,22,cutaneous
"cutaneous spray, solution",,42,no transformation                                 ,47,conventional                                      ,17,spraying,22,cutaneous
"cutaneous spray, suspension",,42,no transformation                                 ,47,conventional                                      ,17,spraying,22,cutaneous
"cutaneous spray, powder",powder spray,42,no transformation                                 ,47,conventional                                      ,17,spraying,22,cutaneous
"cutaneous spray, emulsion",,42,no transformation                                 ,47,conventional                                      ,17,spraying,22,cutaneous/transdermal
"cutaneous spray, ointment",,42,no transformation                                 ,47,conventional                                      ,17,spraying,22,cutaneous/transdermal
concentrate for cutaneous solution,,38,dilution                                          ,47,conventional                                      ,5,application,22,cutaneous
powder for cutaneous solution,,40,dissolution                                       ,47,conventional                                      ,5,application,22,cutaneous
bath additive,,38,dilution/dispersion/dissolution/mixing            ,47,conventional                                      ,6,bathing,22,cutaneous
"concentrate for cutaneous spray, emulsion",topical spray,38,dilution                                          ,47,conventional                                      ,17,spraying,22,cutaneous/transdermal
tablet for cutaneous solution,,40,dissolution                                       ,47,conventional                                      ,5,application,22,cutaneous/transdermal
gel for gel,,41,mixing                                            ,47,conventional                                      ,5,application,22,cutaneous/transdermal
powder for gel,,41,mixing                                            ,47,conventional                                      ,5,application,22,cutaneous/transdermal
,medicated liquid soap,,,,,,,,
,medicated bar soap,,,,,,,,
,topical liquefied gas,,,,,,,,
cream,,42,no transformation                                 ,47,conventional                                      ,5,application,22,cutaneous/transdermal
medicinal leech,,42,no transformation                                 ,47,conventional                                      ,5,application,22,cutaneous/transdermal
medicinal larvae,,42,no transformation                                 ,47,conventional                                      ,5,application,22,cutaneous/transdermal
cutaneous/nasal ointment,,42,no transformation                                 ,47,conventional                                      ,5,application,22,cutaneous/transdermal/nasal
cutaneous/oromucosal solution,,42,no transformation                                 ,47,conventional                                      ,5,application,22,cutaneous/transdermal/oromucosal
cutaneous solution/concentrate for oromucosal solution,,38,dilution/no transformation                        ,47,conventional                                      ,5,application,22,cutaneous/transdermal/oromucosal
solution for skin-prick test,,42,no transformation                                 ,47,conventional                                      ,5,application/injection,22,cutaneous/transdermal/parenteral
solution for skin-scratch test,,42,no transformation                                 ,47,conventional                                      ,5,application/injection,22,cutaneous/transdermal/parenteral
plaster for provocation test,,42,no transformation                                 ,47,conventional                                      ,5,application/injection,22,cutaneous/transdermal/parenteral
solution for injection/skin-prick test,,42,no transformation                                 ,47,conventional                                      ,5,application/injection,22,cutaneous/transdermal/parenteral
powder for solution for injection/skin-prick test,,40,dissolution                                       ,47,conventional                                      ,5,application/injection,22,cutaneous/transdermal/parenteral
powder for solution for skin-prick test,,40,dissolution                                       ,47,conventional                                      ,5,application/injection,22,cutaneous/transdermal/parenteral
periodontal powder,,42,no transformation                                 ,47,conventional                                      ,4,administration,23,dental
dental powder,,42,no transformation                                 ,47,conventional                                      ,4,administration,23,dental
dental cement,,42,no transformation                                 ,47,conventional                                      ,5,application,23,dental
dental gel,,42,no transformation                                 ,47,conventional                                      ,5,application,23,dental
dental stick,,42,no transformation                                 ,47,conventional                                      ,5,application,23,dental
dental solution,,42,no transformation                                 ,47,conventional                                      ,5,application,23,dental
dental suspension,mouthwash,42,no transformation                                 ,47,conventional                                      ,5,application,23,dental
dental emulsion,,42,no transformation                                 ,47,conventional                                      ,5,application,23,dental
toothpaste,toothpaste,42,no transformation                                 ,47,conventional                                      ,5,application,23,dental
periodontal gel,,42,no transformation                                 ,47,conventional                                      ,5,application,23,dental
dental paste,,42,no transformation                                 ,47,conventional                                      ,5,application,23,dental
powder for dental solution,,40,dissolution                                       ,47,conventional                                      ,5,application,23,dental
powder for dental cement,,41,mixing                                            ,47,conventional                                      ,5,application,23,dental
solution for dental cement,,41,mixing                                            ,47,conventional                                      ,5,application,23,dental
powder for dental gel,,41,mixing                                            ,47,conventional                                      ,5,application,23,dental
endocervical gel,,42,no transformation                                 ,47,conventional                                      ,5,application,105,endocervical
powder for endocervical gel,,41,mixing                                            ,47,conventional                                      ,5,application,105,endocervical
anticoagulant and preservative solution for blood,,42,no transformation                                 ,47,conventional                                      ,20,not specified,25,extracorporeal
solution for blood fraction modification,,42,no transformation                                 ,47,conventional                                      ,20,not specified,25,extracorporeal
solution for organ preservation,,42,no transformation                                 ,47,conventional                                      ,20,not specified,25,extracorporeal
solution for cardioplegia,,42,no transformation                                 ,47,conventional                                      ,20,not specified,25,extracorporeal
