EDQM Dose Form,RxNorm Mapping
Cream,Topical Cream
Gel,Topical Gel
Ointment,Topical Ointment
Cutaneous paste,Paste
Medicated plaster,Medicated Tape
Cutaneous foam,Topical Foam
Shampoo,Medicated Shampoo
"Cutaneous spray, solution",Topical Spray
"Cutaneous spray, suspension",Topical Spray
"Cutaneous spray, powder",Powder Spray
Cutaneous liquid,Topical Solution
Cutaneous solution,Topical Solution
Concentrate for cutaneous solution,Topical Solution
Powder for cutaneous solution,
Cutaneous suspension,Topical Suspension
Cutaneous emulsion,
Cutaneous powder,Topical Powder
Cutaneous patch,Medicated Patch
Solution for iontophoresis,
Powder for solution for iontophoresis,
Transdermal patch,Medicated Patch
Collodion,
Medicated nail lacquer,
Nail solution,
Poultice,
Cutaneous stick,
Cutaneous sponge,
Impregnated dressing,Medicated Pad
Collar,
Medicated collar,
Medicated pendant,
Ear tag,
Dip solution,
Dip suspension,
Dip emulsion,
Concentrate for dip solution,
Concentrate for dip suspension,
Concentrate for dip emulsion,
Powder for dip solution,
Concentrate for solution for fish treatment,
Powder for suspension for fish treatment,
Pour-on solution,
Pour-on suspension,
Pour-on emulsion,
Scalp solution,
Scrub,
Spot-on solution,
Spot-on suspension,
Spot-on emulsion,
Teat dip solution,
Teat dip suspension,
Teat dip emulsion,
Teat spray solution,
Transdermal gel,Topical Gel
Transdermal solution,Topical Solution
"Transdermal spray, solution",Topical Spray
Transdermal system,Transdermal System
Solution for skin-prick test,Mucous Membrane Topical Solution
Solution for skin-scratch test,Topical Solution
Plaster for provocation test,
Concentrate for solution for intraocular irrigation,
Eye cream,Ophthalmic Cream
Eye gel,Ophthalmic Gel
Eye ointment,Ophthalmic Ointment
"Eye drops, solution",Ophthalmic Solution
"Eye drops, emulsion",
"Eye drops, suspension",Ophthalmic Suspension
"Eye drops, solvent for reconstitution",
"Eye drops, prolonged-release",Ophthalmic Solution
Eye lotion,Ophthalmic Solution
"Eye lotion, solvent for reconstitution",
Ophthalmic insert,
Ophthalmic strip,
Ear cream,Otic Cream
Ear gel,Otic Gel
Ear ointment,Otic Ointment
"Ear drops, solution",Otic Solution
"Ear drops, suspension",Otic Suspension
"Ear drops, emulsion",
Ear powder,Topical Powder
"Ear spray, solution",Otic Solution
"Ear spray, suspension",Otic Suspension
"Ear spray, emulsion",
"Ear wash, solution",Otic Solution
"Ear wash, emulsion",
Ear tampon,
Ear stick,
Nasal cream,Nasal Cream
