EDQM,,,,,RxNorm Mapping,Bewertung,Kommentar,Original Mapping [https://www.sciencedirect.com/science/article/pii/S138650562200140X],,
PDF-10218000,Human and Veterinary,Current,Oral,"Modified-release capsule, soft",Delayed Release Oral Capsule,ok,,,"a solid dosage form in which the drug is enclosed within either a hard or soft soluble container made from a suitable form of gelatin, and which releases a drug (or drugs) at a time other than promptly after oral administration (enteric-coated particles are delayed release dosage forms)",
PDF-10219000,Human and Veterinary,Current,Oral,Tablet,Oral Tablet,ok,,Oral Tablet,a tablet containing medicated materials to be taken by mouth,
PDF-10220000,Human and Veterinary,Current,Oral,Coated tablet,Oral Tablet,ok,oral tablet: sehr allgemein,,a tablet containing medicated materials to be taken by mouth,
PDF-10221000,Human and Veterinary,Current,Oral,Film-coated tablet,Oral Tablet,ok,oral tablet: sehr allgemein,,a tablet containing medicated materials to be taken by mouth,
PDF-10222000,Human and Veterinary,Current,Oral,Effervescent tablet,Effervescent Oral Tablet,ok,,Effervescent Oral Tablet,"a solid dosage form containing mixtures of acids (e.g., citric acid, tartaric acid) and sodium bicarbonate, which release carbon dioxide when dissolved in water; it is intended to be dissolved or dispersed in water before oral administration",
PDF-10223000,Human and Veterinary,Current,Oral,Orodispersible tablet,Disintegrating Oral Tablet,ok,,Disintegrating Oral Tablet,a tablet dissolved in the mouth to release medication,
PDF-10224000,Human and Veterinary,Current,Oral,Oral lyophilisate,Disintegrating Oral Tablet,ok,,,a tablet dissolved in the mouth to release medication,
PDF-10225000,Human and Veterinary,Current,Oral,Gastro-resistant tablet,Delayed Release Oral Capsule,ok,,,"a solid dosage form in which the drug is enclosed within either a hard or soft soluble container made from a suitable form of gelatin, and which releases a drug (or drugs) at a time other than promptly after oral administration (enteric-coated particles are delayed release dosage forms)",
PDF-10226000,Human and Veterinary,Current,Oral,Prolonged-release tablet,Extended Release Oral Tablet,ok,,Extended Release Oral Tablet,a tablet whose contents are slowly released over an extended period of time at a controlled rate,
PDF-10227000,Human and Veterinary,Current,Oral,Modified-release tablet,Delayed Release Oral Tablet,ok,,,a solid dosage form which releases a drug (or drugs) at a time other than promptly after oral administration (enteric-coated particles are delayed release dosage forms),
PDF-10228000,Human and Veterinary,Current,Oral,Chewable tablet,Chewable Tablet,ok,,Chewable Tablet,a tablet taken by mouth and crushed into smaller pieces before swallowing,
PDF-10229000,Human and Veterinary,Current,"Oral, Oromucosal",Medicated chewing-gum,Chewing Gum,ok,,Chewing Gum,an insoluble material that is chewed to release medication,
PDF-10230000,Human and Veterinary,Current,Oral,Oral gum,Chewing Gum,ok,,,an insoluble material that is chewed to release medication,
PDF-10230500,Human and Veterinary,Rejected,Oral,Pill,Oral Tablet,ok,,,a tablet containing medicated materials to be taken by mouth,
PDF-10231000,Human and Veterinary,Current,"Oral, Sublingual",Pillules,Oral Pellet,ok,,,a small rounded body,
PDF-10232000,Veterinary only,Current,Oral,Continuous-release intraruminal device,,,,,,
PDF-10233000,Veterinary only,Current,Oral,Pulsatile-release intraruminal device,,,,,,
PDF-10234000,Veterinary only,Current,Oral,Lick block,,,,,,
PDF-10235000,Veterinary only,Current,Oral,Premix for medicated feeding stuff,,,,,,
PDF-10236000,Veterinary only,Current,Oral,Medicated pellets,Oral Pellet,ok,,,a small rounded body,
PDF-10236100,Human and Veterinary,Current,Oral,Orodispersible film,,,,Oral Film,,
PDF-10301000,Human and Veterinary,Current,Oromucosal,Gargle,Mouthwash,ok,,,an oral solution intended to be used as a rinse or for irrigation. This includes oral solutions that are applied to the teeth,
PDF-10302000,Human and Veterinary,Current,Oromucosal,Concentrate for gargle,Mouthwash,ok,,,an oral solution intended to be used as a rinse or for irrigation. This includes oral solutions that are applied to the teeth,
